Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C20, C3",0603,5,10uF,
"C10, C11, C14, C15, C16, C17, C18, C19, C8, C9",0603,10,1uF,
"C13, C4, C5, C6, C7",0603,5,100nF,
D1,0603,1,LED,
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole,
J1,PinHeader_1x02_P2.54mm_Vertical,1,UART2,
J2,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
J3,54-00298,1,54-00298,
"R1, R2, R4, R5",0603,4,1.5k,
R3,0603,1,150,
SW1,EVQ_P7_PAN,1,EVQ-P7L01P,
TP1,TestPoint_Pad_1.0x1.0mm,1,USB_5V,
TP2,TestPoint_Pad_1.0x1.0mm,1,USB_GND,
TP3,TestPoint_Pad_1.0x1.0mm,1,USB_DM,
TP4,TestPoint_Pad_1.0x1.0mm,1,USB_DP,
U1,SOT-23-5,1,MIC5504-3.3YM5,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32G431K6Tx,
U3,21-0139I_T2444-4_MXM,1,MAX9860ETG+T,
U4,SOT-23-5,1,MIC5504-1.8YM5,
